Group,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus
196.05306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144.07581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100185.9219,0
123.0433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123.04329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213.05104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.07354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294.05019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294.05017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279.13981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120075.8945,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275.08382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130.09641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161100.3242,163007.371,18578.51563,16499.81445,16712.666,0,0,16329.65723,0,0,193008.25,17425.14258,0,220053.7773
505.23725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210.13246,0,0,0,0,1460000.729,0,0,0,0,0,0,0,0,0,0,218007.293,250082.7832,18618.18945,162100.3004,0,16358.71009,0,0,0,0,0,0,0,0,0
237.09252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264.23122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145.02755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6847.00201,0,0,6932.663574,0,0,12159.999,130073.5008,0,14522.5996,14864.90072,116500.6768,0,0
285.99951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285.99917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285.99928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273.12249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300142.9219,26948.51563,29943.73633,228200.2007,300432.2009,27878.38672,21676.63009,0,0,17197.58594,0,0,0,0,0
341.30457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369.33584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291.11496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29286.22852,0,33931.67969,0,0,27273.63867,0,0,0,0,0,0,0,0,0
221.19084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183.15086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6744.256836,0,0,0,0,0,0,0,0,0
323.09697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18719.10074,13716.58594,15664.94336,0,13735.96875,0,0,1000088.736,11868.98828,0,181800.3262,0,15958.33398,0,0
303.07913,0,300793.7148,28831.373,24688.00586,38313.51172,38967.66401,31368.92773,32213.7539,38193.00501,37454.71009,447500.4601,29466.5957,0,0,26338.51172,38522.23438,0,0,0,0,0,0,0,0,11736.004,0,23126.58789,15595.00752,0,200995.6401
303.0802,0,0,0,0,0,0,0,0,0,0,0,0,0,250084.82,0,0,32634.95313,45265.38672,31121.86914,300245.334,324002.4219,0,11125.76367,0,0,0,0,0,0,0
293.0772,52947.37101,75649.32813,79297.1875,9002100.828,85216.89844,7700003.75,96181.30047,93755.53901,111844.3438,64445.34375,11630000.27,87937.69531,94337.95313,0,82719.59375,113294.9844,913300.9375,114876.0047,85953.65625,9700600.523,900154.5781,5007003.957,300521.8,0,400995.2422,59245.33984,82392.32003,5800002.832,57353.54688,49964.51953
240.16971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218.08058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259.08933,16843.79883,24892.7246,19794.13477,19735.73828,27957.74002,37792.84375,24242.00977,312800.3398,29862.7005,26889.77734,41636.00156,33676.62101,28948.00176,23852.96484,28559.69727,379002.5234,28182.79883,0,0,0,0,0,0,0,1009800.401,0,0,0,0,144500.0082
445.03869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240.08306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129.10179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100600.459,15376.14844,14424.34863,0,158006.5117,15317.65918,9666.765625,0,17268.98828,0,22564.53125,22131.10055,15614.31934,13194.72656,0
129.1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438.13054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373.12119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200518.496,15671.40043,0,0,0,0,0,0,0,0
365.21027,19349.11523,22512.44531,27273.46875,25195.53901,275900.3633,18748.83789,240083.5664,29647.89844,33885.4375,19252.28125,31353.88672,27441.007,340088.9601,21944.93164,29935.20012,46594.38672,42512.51563,49454.4375,0,37465.00547,36879.59766,0,361700.6992,400262.418,36926.92969,524700.9336,56843.51563,381009.2578,52625.11719,600115.5004
365.21236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36412.97656,0,0,27689.86719,0,0,0,0,0,0,0,0
365.21215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243.13268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482.11995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315.1169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100117.1924,15855.22168,183006.2383,0,150042.748,16944.7871
327.08138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241.10821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162.11134,0,0,0,0,0,0,0,0,12214.12598,0,0,0,0,0,0,658300.1953,812006.1172,84241.73438,590089.7383,687300.3281,71899.51563,63156.99219,10079900.15,88917.72656,86121.42969,1200168.313,121182.9531,111747.1797,1003925.009,115784.6797
167.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215.11646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202.04986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172.03876,5880041.625,8389005.938,8375800.313,896176.25,845683.125,729852.8125,7865800.813,874166.5625,98300008,757868.8125,9519300.563,6790093.875,881941.75,8006817.438,100336100,846117.25,8758900.438,914368.9375,812328.875,9144900.938,868299.1875,0,12767007.75,12510025,1161617.25,1542688,15900872.25,1297516.25,16480088.75,14008244.25
